cov_sect,term,role,field,id,name,MAG,OA,CR,combined,MAG%,OA%,CR%,combined%,total_CV
C,1,FP,10-G1,1476,1476_MEZZADRI_Marco,4,3,1,7,0.0851063829787234,0.06382978723404255,0.02127659574468085,0.14893617021276595,47
B,1,FP,10-G1,17564,17564_SCALA_Andrea,17,3,0,17,0.53125,0.09375,0.0,0.53125,32
A,1,FP,10-G1,24904,24904_GERACI_Carlo,30,21,18,32,0.6976744186046512,0.4883720930232558,0.4186046511627907,0.7441860465116279,43
C,1,FP,10-G1,26965,26965_MANCO_Alberto,6,1,1,6,0.14634146341463414,0.024390243902439025,0.024390243902439025,0.14634146341463414,41
A,1,FP,10-G1,29230,29230_BRUGNATELLI_Vermondo,30,15,5,31,0.7692307692307693,0.38461538461538464,0.1282051282051282,0.7948717948717948,39
C,1,FP,10-G1,30306,30306_RICCI_GAROTTI_Federica,2,1,0,2,0.09523809523809523,0.047619047619047616,0.0,0.09523809523809523,21
B,1,FP,10-G1,30919,30919_NUTI_Andrea,12,3,4,15,0.48,0.12,0.16,0.6,25
C,1,FP,10-G1,32497,32497_CASTAGNETO_Marina,3,1,0,3,0.14285714285714285,0.047619047619047616,0.0,0.14285714285714285,21
B,1,FP,10-G1,32871,32871_FACCHETTI_Giulio,27,7,3,27,0.6428571428571429,0.16666666666666666,0.07142857142857142,0.6428571428571429,42
B,1,FP,10-G1,33588,33588_GRIMALDI_Milko_Antonino,21,14,8,22,0.5,0.3333333333333333,0.19047619047619047,0.5238095238095238,42
C,1,FP,10-G1,7333,7333_SPINA_Stefania,10,7,5,12,0.3448275862068966,0.2413793103448276,0.1724137931034483,0.41379310344827586,29
A,1,FP,10-G1,9091,9091_CRAWFORD_Belinda_Blanche,30,25,15,30,0.967741935483871,0.8064516129032258,0.4838709677419355,0.967741935483871,31
A,1,FP,13-D4,10089,10089_CASSESE_Gianluca,11,8,12,12,0.9166666666666666,0.6666666666666666,1.0,1.0,12
A,1,FP,13-D4,10499,10499_SOZZO_Sandro,47,43,39,47,0.9591836734693877,0.8775510204081632,0.7959183673469388,0.9591836734693877,49
A,1,FP,13-D4,11434,11434_PUCCETTI_Giovanni,24,25,25,25,0.96,1.0,1.0,1.0,25
A,1,FP,13-D4,11782,11782_ROTUNDO_Giulia,33,31,31,35,0.9428571428571428,0.8857142857142857,0.8857142857142857,1.0,35
A,1,FP,13-D4,12497,12497_ROMAGNOLI_Silvia,21,22,19,21,0.9130434782608695,0.9565217391304348,0.8260869565217391,0.9130434782608695,23
A,1,FP,13-D4,1437,1437_MICHETTI_ELISABETTA,39,33,31,39,0.9285714285714286,0.7857142857142857,0.7380952380952381,0.9285714285714286,42
A,1,FP,13-D4,15400,15400_SANFELICI_Simona,19,19,19,20,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9523809523809523,21
A,1,FP,13-D4,17121,17121_PASSACANTANDO_Mauro,33,31,27,33,0.9705882352941176,0.9117647058823529,0.7941176470588235,0.9705882352941176,34
A,1,FP,13-D4,17369,17369_CERQUETI_Roy,66,60,53,69,0.9428571428571428,0.8571428571428571,0.7571428571428571,0.9857142857142858,70
B,1,FP,13-D4,19050,19050_CARISTI_Giuseppe,51,62,42,54,0.4636363636363636,0.5636363636363636,0.38181818181818183,0.4909090909090909,110
A,1,FP,13-D4,19381,19381_FEDERICO_Salvatore,15,14,15,15,1.0,0.9333333333333333,1.0,1.0,15
A,1,FP,13-D4,1951,1951_DORIA_SERENA,11,9,9,13,0.7333333333333333,0.6,0.6,0.8666666666666667,15
A,1,FP,13-D4,19549,19549_PETRONI_Filippo,26,31,36,39,0.65,0.775,0.9,0.975,40
A,1,FP,13-D4,22132,22132_RICCA_Federica,25,22,24,25,0.9615384615384616,0.8461538461538461,0.9230769230769231,0.9615384615384616,26
A,1,FP,13-D4,23287,23287_ABUNDO_Mario_Rosalino,34,25,21,36,0.8717948717948718,0.6410256410256411,0.5384615384615384,0.9230769230769231,39
A,1,FP,13-D4,23470,23470_MALLOZZI_Lina,23,25,23,25,0.7666666666666667,0.8333333333333334,0.7666666666666667,0.8333333333333334,30
A,1,FP,13-D4,23926,23926_SGARRA_Carlo,16,17,18,18,0.8888888888888888,0.9444444444444444,1.0,1.0,18
A,1,FP,13-D4,23991,23991_FALBO_Paolo,18,18,18,19,0.9473684210526315,0.9473684210526315,0.9473684210526315,1.0,19
A,1,FP,13-D4,24122,24122_SORDI_Serena,18,15,14,18,0.9473684210526315,0.7894736842105263,0.7368421052631579,0.9473684210526315,19
A,1,FP,13-D4,24494,24494_PLAZZI_Alberto,3,5,5,5,0.6,1.0,1.0,1.0,5
A,1,FP,13-D4,24569,24569_RUSSO_Emilio,19,20,19,20,0.8636363636363636,0.9090909090909091,0.8636363636363636,0.9090909090909091,22
A,1,FP,13-D4,24821,24821_FABBRI_Giorgio,17,17,15,17,0.8947368421052632,0.8947368421052632,0.7894736842105263,0.8947368421052632,19
A,1,FP,13-D4,26962,26962_BRAMATI_Maria_Caterina,21,11,12,22,0.6774193548387096,0.3548387096774194,0.3870967741935484,0.7096774193548387,31
A,1,FP,13-D4,30700,30700_TRAMONTANA_Fabio,30,31,30,32,0.9090909090909091,0.9393939393939394,0.9090909090909091,0.9696969696969697,33
B,1,FP,13-D4,30986,30986_FIGA-TALAMANCA_Gianna,9,8,8,9,0.6,0.5333333333333333,0.5333333333333333,0.6,15
A,1,FP,13-D4,31082,31082_PAGLIARANI_Stefano,14,14,14,15,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,15
A,1,FP,13-D4,31239,31239_BORMETTI_Giacomo,18,13,17,18,1.0,0.7222222222222222,0.9444444444444444,1.0,18
A,1,FP,13-D4,31862,31862_SBUELZ_Alessandro,13,12,10,14,0.8666666666666667,0.8,0.6666666666666666,0.9333333333333333,15
A,1,FP,13-D4,31867,31867_FUSARI_Nicola,2,6,6,6,0.3333333333333333,1.0,1.0,1.0,6
A,1,FP,13-D4,32346,32346_DOLFIN_Marina,15,14,13,17,0.8823529411764706,0.8235294117647058,0.7647058823529411,1.0,17
A,1,FP,13-D4,32859,32859_POTI_Valerio,14,16,15,15,0.8235294117647058,0.9411764705882353,0.8823529411764706,0.8823529411764706,17
A,1,FP,13-D4,33119,33119_FRAGNELLI_Genni,36,37,33,37,0.9230769230769231,0.9487179487179487,0.8461538461538461,0.9487179487179487,39
A,1,FP,13-D4,3328,3328_GUERRINI_Luca,65,85,49,69,0.625,0.8173076923076923,0.47115384615384615,0.6634615384615384,104
A,1,FP,13-D4,33299,33299_MERLONE_Ugo,29,23,20,30,0.9354838709677419,0.7419354838709677,0.6451612903225806,0.967741935483871,31
A,1,FP,13-D4,33309,33309_BURATTO_Alessandra,15,15,13,15,0.9375,0.9375,0.8125,0.9375,16
A,1,FP,13-D4,33484,33484_BEKIROS_Stylianos,40,41,41,41,0.975609756097561,1.0,1.0,1.0,41
A,1,FP,13-D4,35837,35837_MASIERO_Federica,14,12,16,16,0.875,0.75,1.0,1.0,16
A,1,FP,13-D4,36072,36072_BEE_Marco,25,27,25,28,0.7352941176470589,0.7941176470588235,0.7352941176470589,0.8235294117647058,34
A,1,FP,13-D4,38352,38352_SODINI_Mauro,34,32,33,36,0.9444444444444444,0.8888888888888888,0.9166666666666666,1.0,36
A,1,FP,13-D4,38547,38547_HAMEL_Andreas,14,12,12,14,0.875,0.75,0.75,0.875,16
A,1,FP,13-D4,39191,39191_FASANO_Giovanni,31,30,26,31,0.96875,0.9375,0.8125,0.96875,32
A,1,FP,13-D4,4186,4186_DE_MARCO_Giuseppe,21,22,20,22,0.9545454545454546,1.0,0.9090909090909091,1.0,22
A,1,FP,13-D4,4512,4512_CAMPI_Luciano,21,21,19,22,0.9545454545454546,0.9545454545454546,0.8636363636363636,1.0,22
A,1,FP,13-D4,6638,6638_CASTELLANO_Rosella,22,17,16,22,0.88,0.68,0.64,0.88,25
A,1,FP,13-D4,7322,7322_PELESSONI_Renato,19,18,14,19,1.0,0.9473684210526315,0.7368421052631579,1.0,19
A,1,FP,13-D4,8076,8076_GROSSET_Luca,19,20,19,19,0.95,1.0,0.95,0.95,20
A,1,FP,13-D4,8183,8183_MORIGGIA_Vittorio,25,17,14,26,0.8064516129032258,0.5483870967741935,0.45161290322580644,0.8387096774193549,31
A,1,FP,13-D4,919,919_ZANETTE_Antonino,17,19,19,19,0.8947368421052632,1.0,1.0,1.0,19
A,1,FP,13-D4,9355,9355_FERRONI_Filippo,2,7,7,7,0.2857142857142857,1.0,1.0,1.0,7
A,1,AP,10-G1,10544,10544_TENCHINI_Maria_Paola,12,2,1,12,0.8571428571428571,0.14285714285714285,0.07142857142857142,0.8571428571428571,14
A,1,AP,10-G1,12419,12419_CARDINI_Filippo-enrico,5,4,3,5,0.8333333333333334,0.6666666666666666,0.5,0.8333333333333334,6
A,1,AP,10-G1,12911,12911_PASSAROTTI_Marco_Carlo,34,12,8,34,1.0,0.35294117647058826,0.23529411764705882,1.0,34
C,1,AP,10-G1,14266,14266_BISSIRI_Maria_Paola,10,6,3,10,0.625,0.375,0.1875,0.625,16
C,1,AP,10-G1,15421,15421_CERVINI_Cristiana,8,14,2,8,0.3333333333333333,0.5833333333333334,0.08333333333333333,0.3333333333333333,24
B,1,AP,10-G1,16367,16367_ROVAI_Francesco,12,3,3,12,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,18
B,1,AP,10-G1,18417,18417_SPREAFICO_Lorenzo,8,4,3,11,0.36363636363636365,0.18181818181818182,0.13636363636363635,0.5,22
C,1,AP,10-G1,19493,19493_PAPP_Judit,1,1,1,1,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,22
C,1,AP,10-G1,20291,20291_LATOS_Agnieszka,1,0,0,2,0.09090909090909091,0.0,0.0,0.18181818181818182,11
A,1,AP,10-G1,24644,24644_BIGI_Sarah_Francesca,12,10,5,14,0.8571428571428571,0.7142857142857143,0.35714285714285715,1.0,14
A,1,AP,10-G1,25929,25929_CICCOLONE_Simone,14,3,3,14,1.0,0.21428571428571427,0.21428571428571427,1.0,14
C,1,AP,10-G1,26425,26425_LA_GRASSA_Matteo,4,1,0,5,0.12121212121212122,0.030303030303030304,0.0,0.15151515151515152,33
C,1,AP,10-G1,26541,26541_EMMI_Ignazia_Tiziana,0,0,0,0,0.0,0.0,0.0,0.0,10
B,1,AP,10-G1,27496,27496_BENIGNI_Valentina,12,3,1,12,0.631578947368421,0.15789473684210525,0.05263157894736842,0.631578947368421,19
A,1,AP,10-G1,28773,28773_DOMANESCHI_Filippo,12,8,8,12,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.8571428571428571,14
C,1,AP,10-G1,30157,30157_TRENTIN_Bijoy,2,3,0,2,0.125,0.1875,0.0,0.125,16
A,1,AP,10-G1,3035,3035_RAMAGLIA_Francesca,11,2,2,11,0.9166666666666666,0.16666666666666666,0.16666666666666666,0.9166666666666666,12
A,1,AP,10-G1,32140,32140_VERNICE_Mirta,13,11,8,13,1.0,0.8461538461538461,0.6153846153846154,1.0,13
C,1,AP,10-G1,32715,32715_SARULLO_Giulia,2,6,1,3,0.16666666666666666,0.5,0.08333333333333333,0.25,12
A,1,AP,10-G1,33034,33034_CRUSCHINA_Silvio,23,21,16,24,0.8846153846153846,0.8076923076923077,0.6153846153846154,0.9230769230769231,26
A,1,AP,10-G1,33468,33468_PEDRAZZINI_Luciana,12,3,3,12,0.75,0.1875,0.1875,0.75,16
B,1,AP,10-G1,34367,34367_FILIPPONIO_Lorenzo,13,11,0,14,0.5652173913043478,0.4782608695652174,0.0,0.6086956521739131,23
C,1,AP,10-G1,35874,35874_MENZA_Salvatore,0,0,0,0,0.0,0.0,0.0,0.0,11
C,1,AP,10-G1,3840,3840_MATZINGER_JOACHIM,4,4,4,8,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.2962962962962963,27
A,1,AP,10-G1,3860,3860_FRANCO_Ludovico,22,23,14,22,0.9166666666666666,0.9583333333333334,0.5833333333333334,0.9166666666666666,24
A,1,AP,13-D4,1195,1195_CAVALLO_Bice,17,18,17,19,0.7727272727272727,0.8181818181818182,0.7727272727272727,0.8636363636363636,22
A,1,AP,13-D4,13369,13369_DORIA_Serena,7,7,7,9,0.7,0.7,0.7,0.9,10
A,1,AP,13-D4,14921,14921_GIARLOTTA_Alfio,12,13,14,15,0.8,0.8666666666666667,0.9333333333333333,1.0,15
A,1,AP,13-D4,15220,15220_COLUCCI_Domenico,10,10,10,10,1.0,1.0,1.0,1.0,10
A,1,AP,13-D4,15568,15568_FANELLI_Viviana,9,11,7,9,0.6923076923076923,0.8461538461538461,0.5384615384615384,0.6923076923076923,13
A,1,AP,13-D4,16196,16196_ABUNDO_Mario_Rosalino,21,16,15,23,0.84,0.64,0.6,0.92,25
A,1,AP,13-D4,16780,16780_BARBIERI_Giuseppina_Gerarda,10,8,8,10,1.0,0.8,0.8,1.0,10
A,1,AP,13-D4,17087,17087_CORSARO_Stefania,14,15,11,14,0.9333333333333333,1.0,0.7333333333333333,0.9333333333333333,15
A,1,AP,13-D4,17108,17108_MARAZZINA_Daniele,17,17,17,17,1.0,1.0,1.0,1.0,17
A,1,AP,13-D4,17188,17188_GNOATTO_Alessandro,9,9,9,9,1.0,1.0,1.0,1.0,9
A,1,AP,13-D4,1809,1809_REGIS_Luca,11,8,7,11,1.0,0.7272727272727273,0.6363636363636364,1.0,11
A,1,AP,13-D4,18560,18560_CESARONE_Francesco,12,12,9,13,0.9230769230769231,0.9230769230769231,0.6923076923076923,1.0,13
A,1,AP,13-D4,19610,19610_TRIVELLATO_Barbara,12,12,12,12,1.0,1.0,1.0,1.0,12
A,1,AP,13-D4,19901,19901_FERRARI_Giorgio,8,8,8,8,1.0,1.0,1.0,1.0,8
A,1,AP,13-D4,20351,20351_MARINO_Zelda,10,11,9,11,0.8333333333333334,0.9166666666666666,0.75,0.9166666666666666,12
B,1,AP,13-D4,21585,21585_PUGLISI_Alfio,23,30,23,27,0.5348837209302325,0.6976744186046512,0.5348837209302325,0.627906976744186,43
A,1,AP,13-D4,21925,21925_BAVIERA_Roberto,9,10,10,10,0.9,1.0,1.0,1.0,10
A,1,AP,13-D4,22767,22767_PIRINO_Davide_Erminio,10,10,10,10,1.0,1.0,1.0,1.0,10
A,1,AP,13-D4,23794,23794_BIGNOZZI_Valeria,11,9,10,11,1.0,0.8181818181818182,0.9090909090909091,1.0,11
A,1,AP,13-D4,24074,24074_VENTURA_Marco,13,14,13,14,0.9285714285714286,1.0,0.9285714285714286,1.0,14
A,1,AP,13-D4,24679,24679_GUASTAROBA_Gianfranco,15,15,15,15,1.0,1.0,1.0,1.0,15
A,1,AP,13-D4,24909,24909_BRUNI_Renato,16,15,13,16,1.0,0.9375,0.8125,1.0,16
A,1,AP,13-D4,25190,25190_PAGLIARANI_Stefano,14,14,14,15,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,15
A,1,AP,13-D4,26615,26615_COLAPINTO_Cinzia,21,18,18,21,0.9545454545454546,0.8181818181818182,0.8181818181818182,0.9545454545454546,22
A,1,AP,13-D4,26728,26728_CLEMENTE_Gian_Paolo,12,10,6,12,0.9230769230769231,0.7692307692307693,0.46153846153846156,0.9230769230769231,13
A,1,AP,13-D4,26963,26963_BRAMATI_Maria_Caterina,20,11,12,21,0.7692307692307693,0.4230769230769231,0.46153846153846156,0.8076923076923077,26
A,1,AP,13-D4,27769,27769_BIANCARDI_Marta_Elena,10,10,10,10,1.0,1.0,1.0,1.0,10
A,1,AP,13-D4,28004,28004_MELIS_Roberta,9,9,4,9,0.75,0.75,0.3333333333333333,0.75,12
A,1,AP,13-D4,2894,2894_PETRONI_FILIPPO,22,23,28,31,0.7096774193548387,0.7419354838709677,0.9032258064516129,1.0,31
A,1,AP,13-D4,29272,29272_TASCHINI_Luca,9,9,10,10,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.9090909090909091,11
A,1,AP,13-D4,29412,29412_TUMMINELLO_Michele,27,24,26,29,0.9310344827586207,0.8275862068965517,0.896551724137931,1.0,29
A,1,AP,13-D4,29775,29775_CASALIN_Fabrizio,7,7,6,7,1.0,1.0,0.8571428571428571,1.0,7
A,1,AP,13-D4,29971,29971_UBERTI_Pierpaolo,7,7,7,7,0.7,0.7,0.7,0.7,10
A,1,AP,13-D4,3005,3005_BRUNELLI_Matteo,21,21,21,21,1.0,1.0,1.0,1.0,21
A,1,AP,13-D4,30092,30092_LECCADITO_Arturo,14,14,14,14,1.0,1.0,1.0,1.0,14
A,1,AP,13-D4,30257,30257_PELIZZARI_Cristian,10,9,9,10,1.0,0.9,0.9,1.0,10
A,1,AP,13-D4,30747,30747_DI_TOLLO_Giacomo,12,11,10,13,0.8571428571428571,0.7857142857142857,0.7142857142857143,0.9285714285714286,14
A,1,AP,13-D4,30802,30802_VIOLANTE_Francesco,7,7,7,7,1.0,1.0,1.0,1.0,7
A,1,AP,13-D4,31195,31195_DI_GIROLAMI_Cristina,7,7,6,7,1.0,1.0,0.8571428571428571,1.0,7
A,1,AP,13-D4,31482,31482_MERCURI_Lorenzo,13,12,12,14,0.9285714285714286,0.8571428571428571,0.8571428571428571,1.0,14
A,1,AP,13-D4,32087,32087_DOLFIN_Marina,14,13,13,14,1.0,0.9285714285714286,0.9285714285714286,1.0,14
A,1,AP,13-D4,32656,32656_MARENA_Marina,12,10,10,13,0.9230769230769231,0.7692307692307693,0.7692307692307693,1.0,13
A,1,AP,13-D4,32787,32787_RACITI_Fabio,28,29,31,31,0.8484848484848485,0.8787878787878788,0.9393939393939394,0.9393939393939394,33
A,1,AP,13-D4,33118,33118_FRAGNELLI_Genni,29,29,28,29,0.9354838709677419,0.9354838709677419,0.9032258064516129,0.9354838709677419,31
A,1,AP,13-D4,33585,33585_MASTROLEO_Giovanni,18,20,19,22,0.6666666666666666,0.7407407407407407,0.7037037037037037,0.8148148148148148,27
A,1,AP,13-D4,34643,34643_DI_GIACINTO_Marina,7,7,6,7,0.875,0.875,0.75,0.875,8
A,1,AP,13-D4,3505,3505_BARILLA_David,25,32,23,27,0.625,0.8,0.575,0.675,40
A,1,AP,13-D4,35232,35232_VIOLI_Antonio,12,15,15,15,0.7058823529411765,0.8823529411764706,0.8823529411764706,0.8823529411764706,17
A,1,AP,13-D4,35382,35382_OGGIONI_Giorgia,15,16,14,15,0.9375,1.0,0.875,0.9375,16
A,1,AP,13-D4,35858,35858_RADI_Davide,21,21,21,21,1.0,1.0,1.0,1.0,21
A,1,AP,13-D4,36173,36173_RICCARDI_Rossana,12,10,10,12,1.0,0.8333333333333334,0.8333333333333334,1.0,12
A,1,AP,13-D4,36616,36616_ATHANASOGLOU_Stergios,1,9,9,10,0.1,0.9,0.9,1.0,10
A,1,AP,13-D4,37148,37148_RAMPONI_Alessandro,7,9,9,9,0.7,0.9,0.9,0.9,10
C,1,AP,13-D4,38150,38150_NANNAVECCHIA_Antonella,0,3,3,3,0.0,0.2727272727272727,0.2727272727272727,0.2727272727272727,11
A,1,AP,13-D4,38401,38401_GRECO_Luca,11,11,11,12,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8571428571428571,14
A,1,AP,13-D4,38912,38912_FASANO_Giovanni,22,23,20,22,0.9565217391304348,1.0,0.8695652173913043,0.9565217391304348,23
A,1,AP,13-D4,39118,39118_GALLICE_Andrea_Pier_Giovanni,8,9,7,8,0.8,0.9,0.7,0.8,10
A,1,AP,13-D4,39159,39159_OSMETTI_Silvia_Angela,20,14,13,21,0.9523809523809523,0.6666666666666666,0.6190476190476191,1.0,21
A,1,AP,13-D4,39260,39260_TAVONI_Alessandro,12,12,12,15,0.8,0.8,0.8,1.0,15
A,1,AP,13-D4,4413,4413_BIANCHI_Michele_Leonardo,14,13,13,15,0.7777777777777778,0.7222222222222222,0.7222222222222222,0.8333333333333334,18
A,1,AP,13-D4,4949,4949_MAGGIS_Marco,11,8,8,11,1.0,0.7272727272727273,0.7272727272727273,1.0,11
A,1,AP,13-D4,5855,5855_CANOFARI_Paolo,6,6,6,7,0.6,0.6,0.6,0.7,10
A,1,AP,13-D4,5962,5962_SEMERARO_Patrizia,11,13,10,15,0.7333333333333333,0.8666666666666667,0.6666666666666666,1.0,15
A,1,AP,13-D4,6050,6050_BORTOT_Silvia,11,11,10,11,1.0,1.0,0.9090909090909091,1.0,11
A,1,AP,13-D4,7064,7064_GIULI_Massimiliano,9,11,9,9,0.75,0.9166666666666666,0.75,0.75,12
A,1,AP,13-D4,7089,7089_MAGGIONI_Francesca,27,26,24,28,0.9310344827586207,0.896551724137931,0.8275862068965517,0.9655172413793104,29
A,1,AP,13-D4,7671,7671_MORETTO_Enrico,10,9,8,10,0.9090909090909091,0.8181818181818182,0.7272727272727273,0.9090909090909091,11
A,1,AP,13-D4,855,855_PIREDDU_Marina,23,20,21,24,0.92,0.8,0.84,0.96,25
A,1,AP,13-D4,9170,9170_FERRONI_Filippo,1,6,6,6,0.16666666666666666,1.0,1.0,1.0,6
B,2,FP,10-G1,39619,39619_BALDI_Benedetta,22,9,1,23,0.5641025641025641,0.23076923076923078,0.02564102564102564,0.5897435897435898,39
A,2,FP,10-G1,41182,41182_CRISTOFARO_Sonia,14,17,17,19,0.5833333333333334,0.7083333333333334,0.7083333333333334,0.7916666666666666,24
A,2,FP,10-G1,41938,41938_GUARDIANO_Cristina,27,14,11,28,0.9310344827586207,0.4827586206896552,0.3793103448275862,0.9655172413793104,29
C,2,FP,10-G1,42153,42153_BELLUSCIO_Giovanni,7,3,0,7,0.20588235294117646,0.08823529411764706,0.0,0.20588235294117646,34
B,2,FP,10-G1,43194,43194_GOBBO_Federico,23,29,11,26,0.41818181818181815,0.5272727272727272,0.2,0.4727272727272727,55
B,2,FP,10-G1,43801,43801_ROMITO_Luciano,8,3,1,10,0.14814814814814814,0.05555555555555555,0.018518518518518517,0.18518518518518517,54
A,2,FP,10-G1,45433,45433_ROMAGNO_Domenica,25,3,3,25,0.8620689655172413,0.10344827586206896,0.10344827586206896,0.8620689655172413,29
B,2,FP,10-G1,46209,46209_LURAGHI_Silvia,20,21,19,29,0.40816326530612246,0.42857142857142855,0.3877551020408163,0.5918367346938775,49
A,2,FP,10-G1,50024,50024_VITI_Carlotta,7,9,5,8,0.5833333333333334,0.75,0.4166666666666667,0.6666666666666666,12
B,2,FP,10-G1,50095,50095_CALAMAI_Silvia,30,7,5,31,0.5084745762711864,0.11864406779661017,0.0847457627118644,0.5254237288135594,59
B,2,FP,10-G1,50325,50325_MILIZIA_Paolo,9,5,4,9,0.5625,0.3125,0.25,0.5625,16
A,2,FP,13-D4,45591,45591_GRASSI_Rosanna,19,15,16,19,1.0,0.7894736842105263,0.8421052631578947,1.0,19
A,2,FP,13-D4,45835,45835_VARGIOLU_Tiziano,16,15,16,17,0.8421052631578947,0.7894736842105263,0.8421052631578947,0.8947368421052632,19
A,2,FP,13-D4,46137,46137_MAGNI_Carlo_Alberto,42,41,32,45,0.84,0.82,0.64,0.9,50
A,2,FP,13-D4,46624,46624_BRUNETTI_Marianna,17,17,14,18,0.9444444444444444,0.9444444444444444,0.7777777777777778,1.0,18
A,2,FP,13-D4,47556,47556_SERVA_Maurizio,53,46,52,53,1.0,0.8679245283018868,0.9811320754716981,1.0,53
A,2,FP,13-D4,48984,48984_GNECCO_Giorgio_Stefano,58,55,54,58,0.9508196721311475,0.9016393442622951,0.8852459016393442,0.9508196721311475,61
A,2,FP,13-D4,49730,49730_FEDRIZZI_Michele,24,24,24,26,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9629629629629629,27
A,2,FP,13-D4,50022,50022_WEISSENSTEINER_Alex,16,18,18,18,0.8,0.9,0.9,0.9,20
A,2,FP,13-D4,50069,50069_PESCE_Marialaura,11,11,11,11,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,13
A,2,FP,13-D4,50787,50787_CERREIA_VIOGLIO_Simone,1,20,20,20,0.047619047619047616,0.9523809523809523,0.9523809523809523,0.9523809523809523,21
A,2,AP,10-G1,40215,40215_IOVINO_Rossella,26,4,4,26,0.9629629629629629,0.14814814814814814,0.14814814814814814,0.9629629629629629,27
C,2,AP,10-G1,40515,40515_SALVATO_Giuliana,3,0,0,3,0.3,0.0,0.0,0.3,10
C,2,AP,10-G1,41423,41423_BITONTI_Alessandro,6,0,0,6,0.42857142857142855,0.0,0.0,0.42857142857142855,14
C,2,AP,10-G1,42154,42154_BELLUSCIO_Giovanni,3,2,0,3,0.15,0.1,0.0,0.15,20
A,2,AP,10-G1,42484,42484_IRIMIA_Monica_Alexandrina,9,7,3,9,0.8181818181818182,0.6363636363636364,0.2727272727272727,0.8181818181818182,11
A,2,AP,10-G1,42502,42502_BONGELLI_Ramona,18,9,12,21,0.782608695652174,0.391304347826087,0.5217391304347826,0.9130434782608695,23
A,2,AP,10-G1,42503,42503_RICCIONI_Ilaria,18,9,11,20,0.8181818181818182,0.4090909090909091,0.5,0.9090909090909091,22
A,2,AP,10-G1,42627,42627_VITI_Carlotta,7,9,5,8,0.5833333333333334,0.75,0.4166666666666667,0.6666666666666666,12
B,2,AP,10-G1,44328,44328_DE_LA_CRUZ_Vivian_Milagros,11,14,11,13,0.4583333333333333,0.5833333333333334,0.4583333333333333,0.5416666666666666,24
A,2,AP,10-G1,44339,44339_TICCA_Anna_Claudia,7,7,4,9,0.5,0.5,0.2857142857142857,0.6428571428571429,14
A,2,AP,10-G1,44531,44531_MIOLA_Emanuele,19,16,3,20,0.8636363636363636,0.7272727272727273,0.13636363636363635,0.9090909090909091,22
C,2,AP,10-G1,44723,44723_FRATTER_Ivana,5,4,2,5,0.2777777777777778,0.2222222222222222,0.1111111111111111,0.2777777777777778,18
B,2,AP,10-G1,47626,47626_POLLAROLI_Chiara,3,2,2,3,0.5,0.3333333333333333,0.3333333333333333,0.5,6
A,2,AP,10-G1,48305,48305_HELM_Francesca,15,11,7,15,0.75,0.55,0.35,0.75,20
C,2,AP,10-G1,50833,50833_PROIETTI_ERGUN_Anna_Lia,0,2,1,2,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,9
A,2,AP,13-D4,40810,40810_TRIOSSI_VERONDINI_Matteo_Maria,5,7,6,7,0.625,0.875,0.75,0.875,8
B,2,AP,13-D4,40910,40910_PIERINI_Andrea,7,7,5,10,0.3181818181818182,0.3181818181818182,0.22727272727272727,0.45454545454545453,22
A,2,AP,13-D4,42038,42038_CALLEGARO_Giorgia,11,10,9,11,1.0,0.9090909090909091,0.8181818181818182,1.0,11
A,2,AP,13-D4,43530,43530_VITALI_Sebastiano,12,8,6,12,1.0,0.6666666666666666,0.5,1.0,12
A,2,AP,13-D4,45327,45327_MARSIGLIO_Simone,24,24,22,24,1.0,1.0,0.9166666666666666,1.0,24
A,2,AP,13-D4,45558,45558_FOSCHI_Rachele,12,11,10,12,1.0,0.9166666666666666,0.8333333333333334,1.0,12
A,2,AP,13-D4,45586,45586_MASTROGIACOMO_Elisa,11,10,11,11,1.0,0.9090909090909091,1.0,1.0,11
A,2,AP,13-D4,47675,47675_GUSSO_Riccardo,10,10,8,10,1.0,1.0,0.8,1.0,10
A,2,AP,13-D4,48345,48345_CUTILLO_Luisa,17,17,16,17,0.9444444444444444,0.9444444444444444,0.8888888888888888,0.9444444444444444,18
A,2,AP,13-D4,48895,48895_LEVANTESI_Susanna,14,7,6,14,0.8235294117647058,0.4117647058823529,0.35294117647058826,0.8235294117647058,17
A,2,AP,13-D4,49784,49784_MEO_Claudia,8,9,7,9,0.7272727272727273,0.8181818181818182,0.6363636363636364,0.8181818181818182,11
A,2,AP,13-D4,49795,49795_FATONE_Lorella,13,12,12,14,0.8666666666666667,0.8,0.8,0.9333333333333333,15
